=== N-HEDRON SWEEP: Lambda vs Prime Indicator ===
Sweeping q = 3 to 200, N = 3000

--- STRIKE 1: Full sweep ---
   q    mu   phi    I_prime   I_Lambda  Ramanujan  Lam/Pri
  23   0.001630   0.000206   0.1264 Lambda WEAKER
  17   0.003566   0.000415   0.1165 Lambda WEAKER
  19   0.003348   0.000374   0.1117 Lambda WEAKER
 197   0.001542   0.000164   0.1061 Lambda WEAKER
  13   0.007635   0.000771   0.1010 Lambda WEAKER
  11   0.009396   0.000932   0.0991 Lambda WEAKER
  31   0.001370   0.000124   0.0903 Lambda WEAKER
 159   0.001457   0.000126   0.0863 Lambda WEAKER
 155   0.001637   0.000135   0.0825 Lambda WEAKER
  74   0.001011   0.000072   0.0710 Lambda WEAKER
 143   0.001588   0.000107   0.0672 Lambda WEAKER
   7   0.028325   0.001738   0.0614 Lambda WEAKER
 133   0.002397   0.000141   0.0589 Lambda WEAKER
 134   0.001982   0.000114   0.0575 Lambda WEAKER
 199   0.001909   0.000108   0.0565 Lambda WEAKER
 158   0.001806   0.000085   0.0472 Lambda WEAKER
  29   0.002534   0.000110   0.0436 Lambda WEAKER
  69   0.001177   0.000051   0.0431 Lambda WEAKER
  82   0.001207   0.000049   0.0408 Lambda WEAKER
 157   0.001999   0.000074   0.0372 Lambda WEAKER
   5   0.071072   0.002557   0.0360 Lambda WEAKER
 131   0.001566   0.000055   0.0351 Lambda WEAKER
  93   0.001329   0.000039   0.0296 Lambda WEAKER
 118   0.001840   0.000052   0.0285 Lambda WEAKER
 115   0.002012   0.000049   0.0244 Lambda WEAKER
  51   0.002550   0.000061   0.0241 Lambda WEAKER
  79   0.001385   0.000031   0.0223 Lambda WEAKER
 142   0.003163   0.000070   0.0222 Lambda WEAKER
 139   0.005202   0.000111   0.0214 Lambda WEAKER
 138   0.003994   0.000082   0.0206 Lambda WEAKER
  94   0.001248   0.000025   0.0201 Lambda WEAKER
   3   0.247436   0.004637   0.0187 Lambda WEAKER
 141   0.004689   0.000077   0.0165 Lambda WEAKER
  70   0.001500   0.000024   0.0162 Lambda WEAKER
  55   0.001480   0.000023   0.0157 Lambda WEAKER
 137   0.002543   0.000038   0.0151 Lambda WEAKER
  35   0.001413   0.000021   0.0151 Lambda WEAKER
  61   0.001225   0.000016   0.0127 Lambda WEAKER
  66   0.002736   0.000025   0.0093 Lambda WEAKER
  39   0.001779   0.000013   0.0074 Lambda WEAKER
   2   0.990719   0.006890   0.0070 Lambda WEAKER
  85   0.001630   0.000011   0.0068 Lambda WEAKER
  33   0.002375   0.000016   0.0065 Lambda WEAKER
  42   0.007551   0.000047   0.0062 Lambda WEAKER
  38   0.003168   0.000018   0.0055 Lambda WEAKER
  46   0.001408   0.000008   0.0053 Lambda WEAKER
  15   0.015119   0.000052   0.0034 Lambda WEAKER
  65   0.003509   0.000010   0.0030 Lambda WEAKER
  21   0.007135   0.000021   0.0029 Lambda WEAKER
  62   0.003473   0.000008   0.0023 Lambda WEAKER
  34   0.006531   0.000010   0.0015 Lambda WEAKER
  26   0.005765   0.000008   0.0014 Lambda WEAKER
  10   0.052456   0.000059   0.0011 Lambda WEAKER
  14   0.024123   0.000015   0.0006 Lambda WEAKER
   6   0.244905   0.000130   0.0005 Lambda WEAKER
  22   0.010804   0.000005   0.0005 Lambda WEAKER
  30   0.013951   0.000006   0.0004 Lambda WEAKER
  71   0.001877   0.000001   0.0003 Lambda WEAKER

Mean ratio: 0.0473
Lambda is WEAKER than prime indicator on average

--- STRIKE 5: Multiplicative laser (critical strip) ---
F(t) = |sum Lambda(n) n^{-1/2-it}|^2  -- peaks at zeta zeros

Scanning t = 0 to 55:
     t         F(t) 
-----------------------------------
  0.00    228982.19
  5.00      4599.52
 10.00      1120.89
 14.09       602.03 <-- near gamma=14.13
 14.10       596.25 <-- near gamma=14.13
 14.11       590.46 <-- near gamma=14.13
 14.12       584.67 <-- near gamma=14.13
 14.13       578.92 <-- near gamma=14.13
 14.14       573.23 <-- near gamma=14.13
 14.15       567.61 <-- near gamma=14.13
 14.16       562.09 <-- near gamma=14.13
 14.17       556.69 <-- near gamma=14.13
 14.18       551.44 <-- near gamma=14.13
 15.00       550.81
 20.00       346.59
 20.98       323.67 <-- near gamma=21.02
 20.99       323.69 <-- near gamma=21.02
 21.00       323.48 <-- near gamma=21.02
 21.01       323.03 <-- near gamma=21.02
 21.02       322.34 <-- near gamma=21.02
 21.03       321.42 <-- near gamma=21.02
 21.04       320.26 <-- near gamma=21.02
 21.05       318.88 <-- near gamma=21.02
 21.06       317.28 <-- near gamma=21.02
 21.07       315.46 <-- near gamma=21.02
 24.97       214.72 <-- near gamma=25.01
 24.98       212.21 <-- near gamma=25.01
 24.99       209.56 <-- near gamma=25.01
 25.00       206.80 <-- near gamma=25.01
 25.01       203.91 <-- near gamma=25.01
 25.02       200.93 <-- near gamma=25.01
 25.03       197.85 <-- near gamma=25.01
 25.04       194.68 <-- near gamma=25.01
 25.05       191.45 <-- near gamma=25.01
 25.06       188.15 <-- near gamma=25.01
 30.00        88.27
 30.38       169.27 <-- near gamma=30.42
 30.39       169.94 <-- near gamma=30.42
 30.40       170.45 <-- near gamma=30.42
 30.41       170.80 <-- near gamma=30.42
 30.42       171.00 <-- near gamma=30.42
 30.43       171.05 <-- near gamma=30.42
 30.44       170.94 <-- near gamma=30.42
 30.45       170.67 <-- near gamma=30.42
 30.46       170.26 <-- near gamma=30.42
 30.47       169.70 <-- near gamma=30.42
 32.89       114.03 <-- near gamma=32.94
 32.90       111.71 <-- near gamma=32.94
 32.91       109.35 <-- near gamma=32.94
 32.92       106.98 <-- near gamma=32.94
 32.93       104.61 <-- near gamma=32.94
 32.94       102.23 <-- near gamma=32.94
 32.95        99.87 <-- near gamma=32.94
 32.96        97.53 <-- near gamma=32.94
 32.97        95.21 <-- near gamma=32.94
 32.98        92.94 <-- near gamma=32.94
 35.00        70.79
 37.54       143.83 <-- near gamma=37.59
 37.55       142.67 <-- near gamma=37.59
 37.56       141.37 <-- near gamma=37.59
 37.57       139.93 <-- near gamma=37.59
 37.58       138.35 <-- near gamma=37.59
 37.59       136.64 <-- near gamma=37.59
 37.60       134.81 <-- near gamma=37.59
 37.61       132.85 <-- near gamma=37.59
 37.62       130.79 <-- near gamma=37.59
 37.63       128.61 <-- near gamma=37.59
 40.00        50.60
 40.87        59.29 <-- near gamma=40.92
 40.88        57.38 <-- near gamma=40.92
 40.89        55.53 <-- near gamma=40.92
 40.90        53.74 <-- near gamma=40.92
 40.91        52.02 <-- near gamma=40.92
 40.92        50.38 <-- near gamma=40.92
 40.93        48.81 <-- near gamma=40.92
 40.94        47.34 <-- near gamma=40.92
 40.95        45.95 <-- near gamma=40.92
 40.96        44.66 <-- near gamma=40.92
 43.28        30.22 <-- near gamma=43.33
 43.29        30.03 <-- near gamma=43.33
 43.30        29.97 <-- near gamma=43.33
 43.31        30.03 <-- near gamma=43.33
 43.32        30.22 <-- near gamma=43.33
 43.33        30.55 <-- near gamma=43.33
 43.34        31.00 <-- near gamma=43.33
 43.35        31.59 <-- near gamma=43.33
 43.36        32.31 <-- near gamma=43.33
 43.37        33.16 <-- near gamma=43.33
 45.00       118.89
 47.96        49.53 <-- near gamma=48.01
 47.97        47.77 <-- near gamma=48.01
 47.98        46.09 <-- near gamma=48.01
 47.99        44.48 <-- near gamma=48.01
 48.00        42.95 <-- near gamma=48.01
 48.01        41.51 <-- near gamma=48.01
 48.02        40.15 <-- near gamma=48.01
 48.03        38.89 <-- near gamma=48.01
 48.04        37.71 <-- near gamma=48.01
 48.05        36.63 <-- near gamma=48.01
 49.73        43.64 <-- near gamma=49.77
 49.74        45.06 <-- near gamma=49.77
